featureName,enable,availabilityDates
TransferContacts,true
TransferVillas,true
TransferCel2cel,true
TransferCel2celSend,true
TransferCel2celRequest,true
TransferCel2celPending,true
TransferCel2celAdminTransfiya,true
TransferCel2celDefaultAccount,true
TransferCel2celTrustRelations,true
TuPlus,true
PaymentCreditsAndCards,true
PaymentServices,true
PaymentUnregisteredService,true
PaymentTaxes,true
PaymentSocialSecurity,true
Withdraw,true
CashWithdrawal,true
Recharges,true
Pockets,true
PocketsCreate,true
PocketsEdit,true
PocketsPay,true
PocketsTransfer,true
PocketsMovements,true
PocketsDelete,true
ExtractsAndDocuments,true
Extracts,true
TaxCertificate,false
Security,true
SecurityComplementaryServices,true
SecurityBiometrics,true
SecurityMediaActivation,true
SecurityNotifications,true
ChangePassword,true
OnBoarding,true
Support,true
CareChannels,true
BlockAccount,true
CancelAccount,true
DebitPurchase,true
CardAdvance,true
DirectedPayments,true
UpdateInstallments,true
UseQuota,true
CdtRenewal,true
FavoritesPanel,true
MathildeAds,true
MathildeAdsProductSummary,true
MenuQRHome,true
MenuQRLogin,true
MenuQRLoginAlt,true
AuthorizationQR,true
AuthorizationQRAlt,true
PayQR,true
ShowOnBoarding,true
AppleWalletBanner,true
AppleWalletPopUp,false
PopUpAlertSecurity,false,2024-09-25/2024-09-29
StaticQR,true
SeedSowing,false
SeedSowingAlt,true
PFM,true
showOnBoarding,true
popUpAlertSecurity,false,2023-10-26/2023-11-17
staticQR,true
authorizationQR,false
pfm,true
